skill,category,weight
txzmq,technical,1.0
napalm,technical,1.0
django-activity-stream,technical,1.0
stream-framework,technical,1.0
django,technical,1.0
sqlalchemy,technical,1.0
awesome-sqlalchemy,technical,1.0
orator,technical,1.0
peewee,technical,1.0
ponyorm,technical,1.0
pydal,technical,1.0
python-sql,technical,1.0
pip,technical,1.0
python.1,technical,1.0
conda,technical,1.0
curdling,technical,1.0
pip-tools,technical,1.0
wheel,technical,1.0
warehouse,technical,1.0
warehouse.1,technical,1.0
bandersnatch,technical,1.0
devpi,technical,1.0
localshop,technical,1.0
carteblanche,technical,1.0
django-guardian,technical,1.0
django-rules,technical,1.0
delegator.py subprocesses for,technical,1.0
sarge,technical,1.0
sh,technical,1.0
celery,technical,1.0
huey,technical,1.0
mrq,technical,1.0
rq,technical,1.0
simpleq,technical,1.0
annoy,technical,1.0
fastfm,technical,1.0
implicit,technical,1.0
libffm,technical,1.0
lightfm,technical,1.0
surprise,technical,1.0
tensorrec,technical,1.0
django-rest-framework,technical,1.0
django-tastypie,technical,1.0
flask,technical,1.0
eve,technical,1.0
flask-api-utils,technical,1.0
flask-api,technical,1.0
flask-restful,technical,1.0
flask-restless,technical,1.0
pyramid,technical,1.0
cornice,technical,1.0
framework,technical,1.0
falcon,technical,1.0
hug,technical,1.0
restless,technical,1.0
ripozo,technical,1.0
sandman,technical,1.0
apistar,technical,1.0
simplejsonrpcserver,technical,1.0
simplexmlrpcserver,technical,1.0
zerorpc,technical,1.0
astropy,technical,1.0
bcbio-nextgen,technical,1.0
bccb,technical,1.0
biopython,technical,1.0
cclib,technical,1.0
networkx,technical,1.0
nipy,technical,1.0
numpy,technical,1.0
open.1,technical,1.0
obspy,technical,1.0
pydy,technical,1.0
pymc,technical,1.0
rdkit,technical,1.0
scipy,technical,1.0
statsmodels,technical,1.0
sympy,technical,1.0
zipline,technical,1.0
simpy,technical,1.0
django-haystack,technical,1.0
elasticsearch-dsl-py,technical,1.0
elasticsearch-py,technical,1.0
esengine,technical,1.0
pysolr,technical,1.0
solrpy,technical,1.0
whoosh,technical,1.0
marshmallow,technical,1.0
apex,technical,1.0
python-lambda,technical,1.0
zappa,technical,1.0
tablib,technical,1.0
marmir,technical,1.0
openpyxl,technical,1.0
pyexcel,technical,1.0
python-docx,technical,1.0
relatorio,technical,1.0
unoconv,technical,1.0
xlsxwriter,technical,1.0
xlwings,technical,1.0
xlwt / xlrd,technical,1.0
pdf,technical,1.0
pdfminer,technical,1.0
pypdf2,technical,1.0
reportlab,technical,1.0
markdown,technical,1.0
mistune,technical,1.0
python-markdown,technical,1.0
yaml,technical,1.0
pyyaml,technical,1.0
csvkit,technical,1.0
unp,technical,1.0
cactus,technical,1.0
hyde,technical,1.0
lektor,technical,1.0
nikola,technical,1.0
pelican,technical,1.0
tinkerer,technical,1.0
django-taggit,technical,1.0
genshi,technical,1.0
jinja2,technical,1.0
mako,technical,1.0
hypothesis,technical,1.0
mamba,technical,1.0
nose,technical,1.0
nose2,technical,1.0
pytest,technical,1.0
robot,technical,1.0
unittest,technical,1.0
green,technical,1.0
tox,technical,1.0
locust,technical,1.0
pyautogui,technical,1.0
selenium,technical,1.0
sixpack,technical,1.0
splinter,technical,1.0
doublex,technical,1.0
freezegun,technical,1.0
httmock,technical,1.0
httpretty,technical,1.0
mock,technical,1.0
responses,technical,1.0
vcr.py,technical,1.0
factory_boy,technical,1.0
mixer,technical,1.0
model_mommy,technical,1.0
mimesis,technical,1.0
fake2db,technical,1.0
faker,technical,1.0
radar,technical,1.0
chardet,technical,1.0
difflib,technical,1.0
ftfy,technical,1.0
fuzzywuzzy,technical,1.0
levenshtein,technical,1.0
pangu.py,technical,1.0
pyfiglet,technical,1.0
pypinyin,technical,1.0
shortuuid,technical,1.0
unidecode,technical,1.0
uniout,technical,1.0
xpinyin,technical,1.0
slugify,technical,1.0
awesome-slugify,technical,1.0
python-slugify,technical,1.0
unicode-slugify,technical,1.0
parser,technical,1.0
phonenumbers,technical,1.0
ply,technical,1.0
pygments,technical,1.0
pyparsing,technical,1.0
python-nameparser,technical,1.0
